Base EAN13,Digito verificador,Código de Barras,Producto,Marca,Modelo,Cantidad a la mano,Atributo,Valores Atributo,Venta con IVA,Venta sin IVA,SKU Proveedor,Largo Envio,Ancho Envio,Alto Envio,Peso completo,Dimensiones Producto,Material,Proveedor,Precio de Costo,# Variantes de producto,Observaciones,Descripción para el sitio web,Descripción SEO,Referencia interna,Nombre Base,Nombre Comercial,Categoría de Punto de venta,Subcategoría,Volumen,Imagen,Categoría del Producto,Está Publicado,Rastrear Inventario,Etiquetas,Sitio web,Disponible en PdV
780999008000,8,7809990080008,Casco Urbano,Radical Mountain,con luz trasera,1,Color,Blanco,"$39,000","$32,773",C3472,285,230,175,600,59-61,Policarbonato,MKR,"$27,965",2,Certificación EN 1078,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> El Casco Urbano Radical Mountain con luz trasera en color blanco está pensado para el día a día en ciudad, con un enfoque simple y funcional para tus traslados. </p> <p style=""margin-bottom:20px;""> Este casco incluye luz trasera para sumar visibilidad en tus recorridos urbanos, especialmente cuando sales temprano o vuelves tarde, manteniendo tu equipamiento sin complicaciones. </p> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Accesorios / Cascos</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Radical Mountain</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">con luz trasera</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Blanco</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Policarbonato</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">59-61</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">600 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Certificación EN 1078</td> </tr> </table> </div>","Casco Urbano Radical Mountain con luz trasera en color blanco, pensado para trayectos urbanos con mejor visibilidad.",CAS-RAD-CON-B,Casco Urbano Radical Mountain con luz trasera,Casco Urbano Radical Mountain con luz trasera Blanco 59-61cm,Accesorios,Cascos,11471250,https://clubike.cl/imagenes/CAS-RAD-CON-B.jpg,Accesorios / Cascos,1,1,"Urbano, Seguridad, Visibilidad",Clubike,TRUE
780999008001,5,7809990080015,Casco MTB,Radical Mountain,Marathon Glaciar,1,Color,Turquesa,"$32,000","$32,000",C3429,300,230,175,430,58-62,Poliestireno Expandido (EPS),MKR,"$22,908",1,Certificación EN 1078,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> El Casco MTB Radical Mountain Marathon Glaciar en color turquesa es una alternativa práctica para salidas en cerro y rutas de montaña, pensado para un uso cotidiano y sin complicaciones. </p> <p style=""margin-bottom:20px;""> Si buscas un casco de perfil MTB para acompañar tus entrenamientos y paseos, este modelo ofrece una sensación cómoda y una presencia llamativa, manteniendo un enfoque simple en lo esencial. </p> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Accesorios / Cascos</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Radical Mountain</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Marathon Glaciar</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Turquesa</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Poliestireno Expandido (EPS)</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">58-62</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">430 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Certificación EN 1078</td> </tr> </table> </div>","Casco MTB Radical Mountain Marathon Glaciar turquesa, ideal para acompañar salidas de montaña con una sensación cómoda al pedalear.",CAS-RAD-MAR-T,Casco MTB Radical Mountain Marathon Glaciar,Casco MTB Radical Mountain Marathon Glaciar Turquesa 58-62cm,Accesorios,Cascos,12075000,https://clubike.cl/imagenes/CAS-RAD-MAR-T.jpg,Accesorios / Cascos,1,1,"MTB, Seguridad",Clubike,TRUE
780999008002,2,7809990080022,Casco Enduro Abierto,Radical Mountain,Super vent,1,Color,Naranja,"$21,200","$17,815",C3470,320,230,170,490,59-63,Policarbonato,MKR,"$13,994",1,"Certificación EN 1078, Casco con Visera ajustable. Spoiler Aerodinamico Posterior. 15 Superventilaciones","<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> El Casco Enduro Abierto Radical Mountain Super vent en color naranja está pensado para quienes se mueven en cerro y buscan una opción práctica para salidas de enduro y trail. </p> <p style=""margin-bottom:20px;""> Su diseño con visera ajustable suma comodidad en senderos, ayudando a manejar sol y pequeñas ramas sin distraerte de la ruta. </p> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Accesorios / Cascos</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Radical Mountain</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Super vent</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Naranja</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Policarbonato</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">59-63</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">490 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Certificación EN 1078, Casco con Visera ajustable. Spoiler Aerodinamico Posterior. 15 Superventilaciones</td> </tr> </table> </div>","Casco enduro abierto Radical Mountain Super vent naranja con visera ajustable, ideal para acompañar salidas de trail y enduro.",CAS-RAD-SUP-N,Casco Enduro Abierto Radical Mountain Super vent,Casco Enduro Abierto Radical Mountain Super vent Naranja 59-63cm,Accesorios,Cascos,12512000,https://clubike.cl/imagenes/CAS-RAD-SUP-N.jpg,Accesorios / Cascos,1,1,"Enduro, Seguridad",Clubike,TRUE
780999008003,9,7809990080039,Casco Urbano,Radical Mountain,con luz trasera,1,Color,Negro,"$39,000","$32,773",C3472,285,230,175,600,59-61,Policarbonato,MKR,"$27,965",2,Certificación EN 1078,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> El Casco Urbano Radical Mountain con luz trasera en color negro es una opción práctica para moverse en ciudad, con un estilo sobrio y pensado para el ritmo del día a día. </p> <p style=""margin-bottom:20px;""> Su luz trasera integrada aporta un extra de visibilidad en tus trayectos, especialmente en calles con poca luz o en horarios de alta circulación, sin tener que sumar accesorios aparte. </p> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Accesorios / Cascos</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Radical Mountain</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">con luz trasera</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Negro</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Policarbonato</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">59-61</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">600 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Certificación EN 1078</td> </tr> </table> </div>","Casco urbano Radical Mountain con luz trasera en color negro, pensado para desplazamientos diarios con mejor visibilidad.",CAS-RAD-CON-N,Casco Urbano Radical Mountain con luz trasera,Casco Urbano Radical Mountain con luz trasera Negro 59-61cm,Accesorios,Cascos,11471250,https://clubike.cl/imagenes/CAS-RAD-CON-N.jpg,Accesorios / Cascos,1,1,"Urbano, Seguridad, Visibilidad",Clubike,TRUE
780999008004,6,7809990080046,Casco MTB,Radical Mountain,con luz trasera,1,Color,Gris,"$15,900","$13,361",C4057,320,230,170,415,58-62,Policarbonato,MKR,"$10,168",1,"Certificación EN 1078, Luz trasera Incluida, 16 ventilaciones","<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> El Casco MTB Radical Mountain con luz trasera en color gris está pensado para acompañarte en salidas de montaña, con un enfoque práctico para entrenar y pedalear con confianza. </p> <p style=""margin-bottom:20px;""> La luz trasera integrada suma visibilidad sin tener que agregar accesorios aparte, ideal para cuando la salida se alarga o te toca volver con menos luz. </p> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Accesorios / Cascos</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Radical Mountain</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">con luz trasera</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Gris</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Policarbonato</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">58-62</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">415 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Certificación EN 1078, Luz trasera Incluida, 16 ventilaciones</td> </tr> </table> </div>","Casco MTB Radical Mountain con luz trasera gris, pensado para salidas de montaña y mayor visibilidad al pedalear.",CAS-RAD-CON-G,Casco MTB Radical Mountain con luz trasera,Casco MTB Radical Mountain con luz trasera Gris 58-62cm,Accesorios,Cascos,12512000,https://clubike.cl/imagenes/CAS-RAD-CON-G.jpg,Accesorios / Cascos,1,1,"MTB, Seguridad, Visibilidad",Clubike,TRUE
780999008005,3,7809990080053,Casco Enduro Abierto,Radical Mountain,Alta ventilación,1,Color,Verde Neón,"$21,600","$21,600",C3638,320,230,170,440,58-61,,MKR,"$12,881",1,"Cuenta con 16 ventilaciones, certificación EN 1078","<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> El Casco Enduro Abierto Radical Mountain Alta ventilación en verde neón está pensado para acompañarte en senderos y salidas de enduro, con un look bien visible para moverte con más confianza. </p> <p style=""margin-bottom:20px;""> Si sueles pedalear con calor o en subidas largas, su enfoque en la ventilación ayuda a mantener una sensación más cómoda durante la ruta, sin complicarte con accesorios extra. </p> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Accesorios / Cascos</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Radical Mountain</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Alta ventilación</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Verde Neón</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">No especificado</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">58-61</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">440 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Cuenta con 16 ventilaciones, certificación EN 1078</td> </tr> </table> </div>","Casco Enduro Abierto Radical Mountain Alta ventilación verde neón, pensado para enduro y trail con enfoque en ventilación y alta visibilidad.",CAS-RAD-ALT-V,Casco Enduro Abierto Radical Mountain Alta ventilación,Casco Enduro Abierto Radical Mountain Alta ventilación Verde Neón 58-61cm,Accesorios,Cascos,12512000,https://clubike.cl/imagenes/CAS-RAD-ALT-V.jpg,Accesorios / Cascos,1,1,"Enduro, Seguridad",Clubike,TRUE
780999008006,0,7809990080060,Casco Enduro Abierto,Radical Mountain,S302L,1,Color,Gris,"$29,000","$24,370",C3424,320,230,170,415,58-62,,MKR,"$20,218",1,"11 VENTILACIONES, CERTIFICACION EN1078","<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> El Casco Enduro Abierto Radical Mountain S302L en color gris está pensado para acompañarte en salidas de enduro y trail, con un diseño simple y listo para el cerro. </p> <p style=""margin-bottom:20px;""> Es una opción práctica si buscas un casco abierto para tus rutas habituales, con una sensación cómoda y un enfoque en mantener el pedaleo más llevadero en distintos ritmos y condiciones. </p> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Accesorios / Cascos</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Radical Mountain</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">S302L</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Gris</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">No especificado</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">58-62</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">415 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">11 ventilaciones, certificación EN1078</td> </tr> </table> </div>","Casco enduro abierto Radical Mountain S302L gris, pensado para trail y enduro con una sensación cómoda y ventilada.",CAS-RAD-S30-G,Casco Enduro Abierto Radical Mountain S302L,Casco Enduro Abierto Radical Mountain S302L Gris 58-62cm,Accesorios,Cascos,12512000,https://clubike.cl/imagenes/CAS-RAD-S30-G.jpg,Accesorios / Cascos,1,1,"Enduro, Seguridad",Clubike,TRUE
780999008007,7,7809990080077,Casco MTB,Bianchi,S13C,1,Color,Rosado,"$18,200","$15,294",,410,240,160,310,58-61,Poliuretano,No registra,"$14,000",1,Certificación EN 1078,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> El Casco MTB Bianchi S13C en color rosado está pensado para acompañarte en salidas de montaña y entrenamientos, con un enfoque simple y directo para el uso diario. </p> <p style=""margin-bottom:20px;""> Es una alternativa práctica si buscas un casco de perfil MTB para tus rutas habituales, sumando protección sin complicarte con detalles innecesarios. </p> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Accesorios / Cascos</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Bianchi</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">S13C</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Rosado</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Poliuretano</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">58-61</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">310 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Certificación EN 1078</td> </tr> </table> </div>","Casco MTB Bianchi S13C rosado, una opción práctica para salidas de montaña y entrenamientos.",CAS-BIA-S13-R,Casco MTB Bianchi S13C,Casco MTB Bianchi S13C Rosado 58-61cm,Accesorios,Cascos,15744000,https://clubike.cl/imagenes/CAS-BIA-S13-R.jpg,Accesorios / Cascos,1,1,"MTB, Seguridad",Clubike,TRUE
780999008008,4,7809990080084,Casco,Radical Mountain,Luz trasera,1,Color,Azul,"$9,000","$7,563",C4065,410,230,150,295,58-62,Policarbonato,MKR,"$5,351",2,"10 ventilaciones, Certificación EN 1078","<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> El casco Radical Mountain con luz trasera en color azul es una alternativa práctica para moverte en bici, con un enfoque simple y pensado para el uso de todos los días. </p> <p style=""margin-bottom:20px;""> La luz trasera suma un extra de visibilidad cuando pedaleas con poca luz o en trayectos urbanos, sin tener que agregar accesorios aparte. </p> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Accesorios / Cascos</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Radical Mountain</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Luz trasera</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Azul</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Policarbonato</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">58-62</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">295 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">10 ventilaciones, Certificación EN 1078</td> </tr> </table> </div>","Casco Radical Mountain con luz trasera azul, ideal para sumar visibilidad en tus trayectos en bicicleta.",CAS-RAD-LUZ-A,Casco Radical Mountain Luz trasera,Casco Radical Mountain Luz trasera Azul 58-62cm,Accesorios,Cascos,14145000,https://clubike.cl/imagenes/CAS-RAD-LUZ-A.jpg,Accesorios / Cascos,1,1,"Seguridad, Visibilidad",Clubike,TRUE
780999008009,1,7809990080091,Casco MTB,Radical Mountain,LadyBird,1,Color,Rosado,"$23,490","$19,739",C4077,360,210,140,210,46-53,Policarbonato,MKR,$0,1,Certificación EN 1078,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> El Casco MTB Radical Mountain LadyBird en color rosado está pensado para acompañarte en salidas de montaña y paseos, con un diseño simple y fácil de integrar a tu equipo. </p> <p style=""margin-bottom:20px;""> Es una opción práctica si buscas un casco MTB para uso cotidiano, con un look llamativo y un enfoque directo en lo esencial para salir a pedalear con más tranquilidad. </p> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Accesorios / Cascos</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Radical Mountain</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">LadyBird</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Rosado</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Policarbonato</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">46-53</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">210 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Certificación EN 1078</td> </tr> </table> </div>","Casco MTB Radical Mountain LadyBird rosado, una alternativa práctica para salidas de montaña y uso diario.",CAS-RAD-LAD-R,Casco MTB Radical Mountain LadyBird,Casco MTB Radical Mountain LadyBird Rosado 46-53cm,Accesorios,Cascos,10584000,https://clubike.cl/imagenes/CAS-RAD-LAD-R.jpg,Accesorios / Cascos,1,1,"MTB, Seguridad, Infantil",Clubike,TRUE
