Base EAN13,Digito verificador,Código de Barras,Producto,Marca,Modelo,Cantidad a la mano,Atributo,Valores Atributo,Venta con IVA,Venta sin IVA,SKU Proveedor,Largo Envio,Ancho Envio,Alto Envio,Peso completo,Dimensiones Producto,Material,Proveedor,Precio de Costo,# Variantes de producto,Observaciones,Descripción para el sitio web,Descripción SEO,Referencia interna,Nombre Base,Nombre Comercial,Categoría de Punto de venta,Subcategoría,Volumen,Imagen,Categoría del Producto,Está Publicado,Rastrear Inventario,Etiquetas,Sitio web,Disponible en PdV
780999002000,4,7809990020004,Luces,Bikeboy,AS1010,6,Color,Blanco,"$3,990","$3,353",410-97-B,85,55,40,35,500,ABS,No registra,"$3,069",2,"Recargable, duración de 4 - 8 horas, rotación 360","<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> La luz Bikeboy AS1010 es una opción práctica para quienes buscan sumar visibilidad a la bicicleta en el día a día. Ideal para complementar tu equipamiento y moverte con mayor confianza en distintos entornos. </p> <p style=""margin-bottom:20px;""> Una alternativa simple para renovar una luz desgastada o añadir un punto de iluminación adicional, priorizando un uso fácil y flexible según tu rutina de pedaleo. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Luces</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Bikeboy</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">AS1010</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Blanco</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">ABS</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">500</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">35 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Recargable, duración de 4 - 8 horas, rotación 360</td> </tr> </table> </div>","Luz para bicicleta Bikeboy AS1010, pensada para mejorar la visibilidad en trayectos diarios y salidas recreativas.",LUC-BIK-AS1-B,Luces Bikeboy AS1010,Luces Bikeboy AS1010 Blanco 500 LM,Accesorios,Iluminación,187000,https://clubike.cl/imagenes/LUC-BIK-AS1-B.jpg,Accesorios / Iluminación,1,1,"Visibilidad, Nocturno, Recargable USB",Clubike,TRUE
780999002001,1,7809990020011,Luces,Bikeboy,AS1010,8,Color,Rojo,"$3,990","$3,353",410-97-R,85,55,40,35,500,ABS,No registra,"$3,069",2,"Recargable, duración de 4 - 8 horas, rotación 360","<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> La luz Bikeboy AS1010 es una opción práctica para quienes buscan sumar visibilidad a la bicicleta en el día a día. Ideal para complementar tu equipamiento y moverte con mayor confianza en distintos entornos. </p> <p style=""margin-bottom:20px;""> Una alternativa simple para renovar una luz desgastada o añadir un punto de iluminación adicional, priorizando un uso fácil y flexible según tu rutina de pedaleo. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Luces</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Bikeboy</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">AS1010</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Blanco</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">ABS</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">500</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">35 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Recargable, duración de 4 - 8 horas, rotación 360</td> </tr> </table> </div>","Luz para bicicleta Bikeboy AS1010, pensada para mejorar la visibilidad en trayectos diarios y salidas recreativas.",LUC-BIK-AS1-R,Luces Bikeboy AS1010,Luces Bikeboy AS1010 Rojo 500 LM,Accesorios,Iluminación,187000,https://clubike.cl/imagenes/LUC-BIK-AS1-R.jpg,Accesorios / Iluminación,1,1,"Visibilidad, Nocturno, Recargable USB",Clubike,TRUE
780999002002,8,7809990020028,Luces,JingYi,Spoke light,1,Color,Rojo,"$6,900","$5,798",JY-212,200,115,50,40,,,No registra,"$5,308",1,Baterias AG-10 incluidas,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> Las luces JingYi Spoke light son una alternativa práctica para sumar visibilidad a tu bicicleta en el uso diario. Una opción simple para complementar tu equipamiento y moverte con mayor confianza. </p> <p style=""margin-bottom:20px;""> Ideales si buscas renovar una luz o añadir un punto extra de iluminación, manteniendo una configuración ordenada y adaptada a tu estilo de pedaleo. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Luces</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">JingYi</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Spoke light</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Rojo</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">40 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Baterias AG-10 incluidas</td> </tr> </table> </div>","Luces JingYi Spoke light para bicicleta, pensadas para mejorar la visibilidad en trayectos diarios y salidas recreativas.",LUC-JIN-SPO-R,Luces JingYi Spoke light,Luces JingYi Spoke light Rojo ,Accesorios,Iluminación,1150000,https://clubike.cl/imagenes/LUC-JIN-SPO-R.jpg,Accesorios / Iluminación,1,1,"Visibilidad, Nocturno",Clubike,TRUE
780999002003,5,7809990020035,Luz trasera,Bikeboy,Recargable,5,Color,Rojo,"$3,990","$3,353",410-28-R,125,80,30,33,15,,No registra,"$3,069",1,"Contiene accesorios adicionales(rubber band y usb cable), es una luz de gran angular y la duración de la bateria puede durar de 2 a 5 horas. Si se ocupa la luz continua dura 2 horas, si se ocupa la luz intermitente o patron lento dura 4 horas y si se ocupa el patron rápido dura hasta 5 horas. El tiempo de carga completa de la luz es de 2 horas. Diametro compatible de 12 a 32mm","<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> La luz trasera Bikeboy Recargable es una opción práctica para quienes buscan sumar visibilidad a la bicicleta en el uso diario. Ideal para complementar tu equipamiento y moverte con más tranquilidad en distintos entornos. </p> <p style=""margin-bottom:20px;""> Una alternativa simple para renovar una luz trasera o añadir un punto extra de iluminación, manteniendo un uso cómodo y adaptable según tu rutina de pedaleo. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Luz trasera</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Bikeboy</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Recargable</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Rojo</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">15 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">33 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones de envío</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">125 x 80 x 30</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Contiene accesorios adicionales(rubber band y usb cable), es una luz de gran angular y la duración de la bateria puede durar de 2 a 5 horas. Si se ocupa la luz continua dura 2 horas, si se ocupa la luz intermitente o patron lento dura 4 horas y si se ocupa el patron rápido dura hasta 5 horas. El tiempo de carga completa de la luz es de 2 horas. Diametro compatible de 12 a 32mm</td> </tr> </table> </div>","Luz trasera Bikeboy Recargable para bicicleta, pensada para mejorar la visibilidad en trayectos diarios y salidas recreativas.",LUZ-BIK-REC-R,Luz trasera Bikeboy Recargable,Luz trasera Bikeboy Recargable Rojo 15 LM,Accesorios,Iluminación,300000,https://clubike.cl/imagenes/LUZ-BIK-REC-R.jpg,Accesorios / Iluminación,1,1,"Visibilidad, Nocturno, Recargable USB",Clubike,TRUE
780999002004,2,7809990020042,Luces,Defensor Forever,Waterproof,7,Color,Blanco,"$3,990","$3,353",410-28,125,85,30,33,50,,No registra,"$3,069",1,"4 modos diferentes de iluminación, tiene un sello impermeable que la hace resistente a salpicaduras de agua, incluye accesorios (rubber band y usb cable). Tiempo de carga 2 horas","<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> La luz Defensor Forever Waterproof es una alternativa práctica para quienes buscan sumar visibilidad a la bicicleta en el uso diario. Funciona como un complemento simple para moverte con más confianza en distintos entornos. </p> <p style=""margin-bottom:20px;""> Una buena opción para renovar una luz desgastada o agregar un punto de iluminación adicional, manteniendo una configuración sencilla y fácil de integrar a tu rutina de pedaleo. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Luces</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Defensor Forever</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Waterproof</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Blanco</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Flujo luminoso</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">50 LM</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">33 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones de envío</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">125 x 85 x 30</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">4 modos diferentes de iluminación; tiene un sello impermeable que la hace resistente a salpicaduras de agua; incluye accesorios (rubber band y usb cable). Tiempo de carga 2 horas</td> </tr> </table> </div>","Luz para bicicleta Defensor Forever Waterproof, pensada para aumentar la visibilidad en trayectos diarios y salidas recreativas.",LUC-DEF-WAT-B,Luces Defensor Forever Waterproof,Luces Defensor Forever Waterproof Blanco 50 LM,Accesorios,Iluminación,318750,https://clubike.cl/imagenes/LUC-DEF-WAT-B.jpg,Accesorios / Iluminación,1,1,"Visibilidad, Nocturno, Lluvia, Recargable USB",Clubike,TRUE
780999002005,9,7809990020059,Luces,Bikeboy,Silicona,4,Color,Rojo,"$2,990","$2,513",410-38-R,160,110,30,46,,Silicona,No registra,"$2,300",2,"Tres funciones, resistente al agua, instalación rapida","<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> La luz Bikeboy Silicona es una opción práctica para quienes buscan sumar visibilidad a la bicicleta en el uso diario. Ideal para complementar tu equipamiento y moverte con más confianza en distintos entornos. </p> <p style=""margin-bottom:20px;""> Una alternativa simple para renovar una luz desgastada o añadir un punto de iluminación adicional, con un formato pensado para integrarse fácilmente a tu rutina de pedaleo. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Luces</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Bikeboy</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Silicona</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Rojo</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Silicona</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">46 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Tres funciones, resistente al agua, instalación rapida</td> </tr> </table> </div>","Luz para bicicleta Bikeboy Silicona, pensada para mejorar la visibilidad en trayectos diarios y salidas recreativas.",LUC-BIK-SIL-R,Luces Bikeboy Silicona,Luces Bikeboy Silicona Rojo ,Accesorios,Iluminación,528000,https://clubike.cl/imagenes/LUC-BIK-SIL-R.jpg,Accesorios / Iluminación,1,1,"Visibilidad, Nocturno, Lluvia",Clubike,TRUE
780999002006,6,7809990020066,Luces,Bikeboy,Silicona,8,Color,Blanco,"$2,990","$2,513",410-38-B,160,110,30,46,,Silicona,No registra,"$2,300",2,"Tres funciones, resistente al agua, instalación rapida","<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> La luz Bikeboy Silicona es una opción práctica para quienes buscan sumar visibilidad a la bicicleta en el uso diario. Ideal para complementar tu equipamiento y moverte con más confianza en distintos entornos. </p> <p style=""margin-bottom:20px;""> Una alternativa simple para renovar una luz desgastada o añadir un punto de iluminación adicional, con un formato pensado para integrarse fácilmente a tu rutina de pedaleo. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Luces</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Bikeboy</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Silicona</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Rojo</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Silicona</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">46 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Tres funciones, resistente al agua, instalación rapida</td> </tr> </table> </div>","Luz para bicicleta Bikeboy Silicona, pensada para mejorar la visibilidad en trayectos diarios y salidas recreativas.",LUC-BIK-SIL-B,Luces Bikeboy Silicona,Luces Bikeboy Silicona Blanco ,Accesorios,Iluminación,528000,https://clubike.cl/imagenes/LUC-BIK-SIL-B.jpg,Accesorios / Iluminación,1,1,"Visibilidad, Nocturno, Lluvia",Clubike,TRUE
780999002007,3,7809990020073,Luces,BAISK,Super Bright,4,Color,Blanco,"$9,900","$8,319",BST-001,170,105,40,63,,,No registra,"$7,615",1,"Resistente al agua, incluye cable usb, recargable, facil instalación","<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> La luz BAISK Super Bright es una opción práctica para sumar visibilidad a tu bicicleta en el uso diario. Ideal para complementar tu equipamiento y moverte con mayor confianza en distintos entornos. </p> <p style=""margin-bottom:20px;""> Una alternativa simple para renovar una luz desgastada o añadir un punto de iluminación adicional, manteniendo una experiencia de uso cómoda y fácil de integrar a tu rutina de pedaleo. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Luces</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">BAISK</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Super Bright</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Blanco</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">63 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones de envío</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">170 x 105 x 40</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Resistente al agua, incluye cable usb, recargable, facil instalación</td> </tr> </table> </div>","Luz para bicicleta BAISK Super Bright, pensada para mejorar la visibilidad en trayectos diarios y salidas recreativas.",LUC-BAI-SUP-B,Luces BAISK Super Bright,Luces BAISK Super Bright Blanco ,Accesorios,Iluminación,714000,https://clubike.cl/imagenes/LUC-BAI-SUP-B.jpg,Accesorios / Iluminación,1,1,"Visibilidad, Nocturno, Lluvia, Recargable USB",Clubike,TRUE
780999002008,0,7809990020080,Luces,Generico,Anti-Theft,4,Color,Blanco,"$7,990","$6,714",259,106,60,75,100,250,,No registra,"$6,146",1,"No incluye pilas AAA, tiempo de carga 2.5 horas, ","<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> La luz Genérico Anti-Theft es una alternativa práctica para sumar visibilidad a tu bicicleta en el uso diario. Ideal para complementar tu equipamiento y moverte con más confianza en distintos entornos. </p> <p style=""margin-bottom:20px;""> Una opción simple para renovar una luz desgastada o añadir un punto de iluminación adicional, manteniendo una instalación y uso orientados a tu rutina de pedaleo. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Luces</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Generico</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Anti-Theft</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Blanco</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Flujo luminoso</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">250 LM</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">100 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones de envío</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">106 x 60 x 75</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">No incluye pilas AAA, tiempo de carga 2.5 horas</td> </tr> </table> </div>","Luz para bicicleta Genérico Anti-Theft, pensada para mejorar la visibilidad en trayectos diarios y salidas recreativas.",LUC-GEN-ANT-B,Luces Generico Anti-Theft,Luces Generico Anti-Theft Blanco 250 LM,Accesorios,Iluminación,477000,https://clubike.cl/imagenes/LUC-GEN-ANT-B.jpg,Accesorios / Iluminación,1,1,"Visibilidad, Nocturno, Recargable USB",Clubike,TRUE
780999002009,7,7809990020097,Luces,XINGXHENG,SQUARE Multipurpose ,3,Color,Blanco,$600,$504,1664,150,123,45,92,,,No registra,$462,1,No incluye baterias,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> La luz XINGXHENG SQUARE Multipurpose es una opción práctica para sumar visibilidad a tu bicicleta en el uso diario. Ideal para quienes buscan complementar su equipamiento con una alternativa simple y funcional. </p> <p style=""margin-bottom:20px;""> Una buena opción para renovar una luz o añadir un punto de iluminación adicional, manteniendo una configuración fácil de integrar según tu rutina de pedaleo. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Luces</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">XINGXHENG</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">SQUARE Multipurpose</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Blanco</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">92 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones de envío</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">150 x 123 x 45</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">No incluye baterias</td> </tr> </table> </div>","Luz para bicicleta XINGXHENG SQUARE Multipurpose, pensada para mejorar la visibilidad y acompañar tus trayectos diarios o salidas recreativas.",LUC-XIN-SQU-B,Luces XINGXHENG SQUARE Multipurpose ,Luces XINGXHENG SQUARE Multipurpose  Blanco ,Accesorios,Iluminación,830250,https://clubike.cl/imagenes/LUC-XIN-SQU-B.jpg,Accesorios / Iluminación,1,1,"Visibilidad, Nocturno",Clubike,TRUE
