Base EAN13,Digito verificador,Código de Barras,Producto,Marca,Modelo,Cantidad a la mano,Atributo,Valores Atributo,Venta con IVA,Venta sin IVA,SKU Proveedor,Largo Envio,Ancho Envio,Alto Envio,Peso completo,Dimensiones Producto,Material,Proveedor,Precio de Costo,# Variantes de producto,Observaciones,Descripción para el sitio web,Descripción SEO,Referencia interna,Nombre Base,Nombre Comercial,Categoría de Punto de venta,Subcategoría,Volumen,Imagen,Categoría del Producto,Está Publicado,Rastrear Inventario,Etiquetas,Sitio web,Disponible en PdV
780999040000,4,7809990400004,Neumático MTB,Best,16,1,Diseño,Petty,"$4,300","$3,613",18447,420,420,50,510,1.95,Caucho,Andes Industrial,"$2,160",1,,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> El neumático MTB Best 16 está pensado para quienes buscan una alternativa práctica para renovar su bicicleta y seguir pedaleando con confianza en salidas recreativas. </p> <p style=""margin-bottom:20px;""> Una opción simple para reemplazar un neumático desgastado: revisa la compatibilidad con tu rueda y realiza el montaje con cuidado para asegurar un buen asentamiento en la llanta. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Neumático MTB</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Best</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">16</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Diseño: Petty</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Caucho</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">1.95</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">510</td> </tr> </table> </div>","Neumático MTB Best Aro 16 para bicicleta, ideal como repuesto para mantener tu rodado listo para uso recreativo y salidas en terreno.",NEU-BES-16-P,Neumático MTB Best Aro 16,Neumático MTB Best Aro 16x1.95 Petty,Repuestos,Neumáticos y Cámaras,8820000,https://clubike.cl/imagenes/NEU-BES-16-P.jpg,Repuestos / Neumáticos y Cámaras,1,1,"MTB, Mantenimiento, Reparación",Clubike,TRUE
780999040001,1,7809990400011,Neumático MTB,Best,20,1,Diseño,Smash,"$5,500","$4,622",18448,520,520,60,730,2.125,Caucho,Andes Industrial,"$2,760",1,,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> El neumático MTB Best 20 es una opción práctica para renovar tu bicicleta y seguir pedaleando con confianza en rutas recreativas y caminos de tierra. </p> <p style=""margin-bottom:20px;""> Ideal para reemplazar un neumático gastado: antes de montarlo, revisa el estado de la llanta y realiza el armado con cuidado para asegurar un buen asentamiento. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Neumático MTB</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Best</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">20</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Diseño: Smash</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Caucho</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">2.125""</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">730</td> </tr> </table> </div>","Neumático MTB Best Aro 20 para bicicleta, pensado como repuesto para uso recreativo y salidas en terreno.",NEU-BES-20-S,Neumático MTB Best Aro 20,Neumático MTB Best Aro 20x2.125 Smash,Repuestos,Neumáticos y Cámaras,16224000,https://clubike.cl/imagenes/NEU-BES-20-S.jpg,Repuestos / Neumáticos y Cámaras,1,1,"MTB, Mantenimiento, Reparación",Clubike,TRUE
780999040002,8,7809990400028,Neumático MTB,Best,27.5,2,Diseño,Black Wanda,"$9,600","$8,067",18653,700,700,60,1065,2.1,Caucho,Andes Industrial,"$4,785",1,,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> El neumático MTB Best 27.5 es una alternativa práctica para renovar tu bicicleta y seguir pedaleando con confianza en rutas recreativas y caminos de tierra. </p> <p style=""margin-bottom:20px;""> Ideal para reemplazar un neumático gastado: revisa el estado de la llanta y verifica compatibilidad antes del montaje, cuidando el asentamiento para un uso más seguro. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Neumático MTB</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Best</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">27.5</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Diseño: Black Wanda</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Caucho</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">2.1""</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">1065</td> </tr> </table> </div>","Neumático MTB Best Aro 27.5 para bicicleta, pensado como repuesto para mantener tu rodado listo para uso recreativo y salidas en terreno.",NEU-BES-275-B,Neumático MTB Best Aro 27.5,Neumático MTB Best Aro 27.5x2.1 Black Wanda,Repuestos,Neumáticos y Cámaras,29400000,https://clubike.cl/imagenes/NEU-BES-275-B.jpg,Repuestos / Neumáticos y Cámaras,1,1,"MTB, Mantenimiento, Reparación",Clubike,TRUE
780999040003,5,7809990400035,Neumático Ruta,Best,26,1,Diseño,Stoner City,"$8,500","$7,143",18452,660,660,45,840,2.125,Caucho,Andes Industrial,"$4,990",1,,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> El neumático Ruta Best 26 es una alternativa práctica para renovar tu bicicleta y seguir pedaleando con confianza en salidas recreativas y uso cotidiano. </p> <p style=""margin-bottom:20px;""> Ideal para reemplazar un neumático gastado: revisa la compatibilidad con tu rueda y realiza el montaje con cuidado para asegurar un buen asentamiento en la llanta. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Neumático Ruta</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Best</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">26</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Diseño: Stoner City</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Caucho</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">2.125""</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">840</td> </tr> </table> </div>","Neumático Ruta Best Aro 26 para bicicleta, una opción práctica para reemplazar un neumático desgastado y mantener tu rodado listo para el día a día.",NEU-BES-26-S,Neumático Ruta Best Aro 26,Neumático Ruta Best Aro 26x2.125 Stoner City,Repuestos,Neumáticos y Cámaras,19602000,https://clubike.cl/imagenes/NEU-BES-26-S.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Ruta, Mantenimiento, Reparación",Clubike,TRUE
780999040004,2,7809990400042,Neumático MTB,Best,24,2,Diseño,Cross,"$7,000","$5,882",18450,615,615,60,805,2.125,Caucho,Andes Industrial,"$3,510",1,,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> Este neumático MTB Best es una alternativa práctica para renovar tu bicicleta y mantener un rodado confiable en salidas recreativas y caminos de tierra. </p> <p style=""margin-bottom:20px;""> Para un buen resultado, verifica compatibilidad con tu rueda y realiza el montaje con cuidado, revisando el estado de la llanta antes de volver a rodar. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Neumático MTB</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Best</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">24</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Diseño: Cross</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Caucho</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">2.125""</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">805 g</td> </tr> </table> </div>","Neumático MTB Best Aro 24 para bicicleta, pensado como repuesto para uso recreativo y salidas en terreno.",NEU-BES-24-C,Neumático MTB Best Aro 24,Neumático MTB Best Aro 24x2.125 Cross,Repuestos,Neumáticos y Cámaras,22693500,https://clubike.cl/imagenes/NEU-BES-24-C.jpg,Repuestos / Neumáticos y Cámaras,1,1,"MTB, Mantenimiento, Reparación",Clubike,TRUE
780999040005,9,7809990400059,Neumático Ruta,Uniqa,24,2,Color,Gris,"$5,900","$4,958",,620,620,40,522,1 3/8,Caucho,No registra,"$4,538",1,,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> El neumático Ruta Uniqa está pensado para quienes buscan una alternativa simple y confiable para renovar su bicicleta y mantenerla lista para el día a día. </p> <p style=""margin-bottom:20px;""> Ideal como repuesto cuando el neumático actual está gastado: revisa compatibilidad con tu rueda y realiza el montaje con cuidado para asegurar un buen ajuste. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Neumático Ruta</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Uniqa</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">24</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Gris</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Caucho</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">1 3/8""</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">522 g</td> </tr> </table> </div>","Neumático Ruta Uniqa Aro 24 para bicicleta, una opción práctica para reemplazar tu neumático y seguir pedaleando en uso cotidiano y recreativo.",NEU-UNI-24-G,Neumático Ruta Uniqa Aro 24,Neumático Ruta Uniqa Aro 24x1.375 Gris,Repuestos,Neumáticos y Cámaras,15376000,https://clubike.cl/imagenes/NEU-UNI-24-G.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Ruta, Mantenimiento, Reparación",Clubike,TRUE
780999040006,6,7809990400066,Neumático MTB,Generico,29,2,,,"$7,900","$6,639",,740,740,50,1130,2.1,Caucho,No registra,"$6,077",1,,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> El neumático MTB Generico está pensado para quienes buscan una alternativa simple para renovar su bicicleta y mantener un rodado confiable en salidas recreativas. </p> <p style=""margin-bottom:20px;""> Ideal para reemplazar un neumático desgastado: antes de montarlo, revisa el estado de la llanta y realiza el armado con cuidado para asegurar un buen asentamiento. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Neumático MTB</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Generico</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">29</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Caucho</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">2.1""</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">1130 g</td> </tr> </table> </div>","Neumático MTB Generico Aro 29 para bicicleta, una opción práctica como repuesto para uso recreativo y salidas en terreno.",NEU-GEN-29-0,Neumático MTB Generico Aro 29,Neumático MTB Generico Aro 29x2.1 ,Repuestos,Neumáticos y Cámaras,27380000,https://clubike.cl/imagenes/NEU-GEN-29-0.jpg,Repuestos / Neumáticos y Cámaras,1,1,"MTB, Mantenimiento, Reparación",Clubike,TRUE
780999040007,3,7809990400073,Neumático MTB,Bontrager,29,2,,,"$23,400","$19,664",,750,750,35,800,2.3,Caucho,No registra,"$18,000",1,,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> El neumático MTB Bontrager es una alternativa práctica para renovar tu bicicleta y seguir pedaleando con confianza en rutas recreativas y caminos de tierra. </p> <p style=""margin-bottom:20px;""> Ideal para reemplazar un neumático desgastado: revisa la compatibilidad con tu rueda y realiza el montaje con cuidado para asegurar un buen asentamiento en la llanta. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Neumático MTB</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Bontrager</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">29</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Caucho</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">2.3""</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">800 g</td> </tr> </table> </div>","Neumático MTB Bontrager Aro 29 para bicicleta, pensado como repuesto para salidas recreativas y uso en terreno.",NEU-BON-29-0,Neumático MTB Bontrager Aro 29,Neumático MTB Bontrager Aro 29x2.3 ,Repuestos,Neumáticos y Cámaras,19687500,https://clubike.cl/imagenes/NEU-BON-29-0.jpg,Repuestos / Neumáticos y Cámaras,1,1,"MTB, Mantenimiento, Reparación",Clubike,TRUE
780999040008,0,7809990400080,Neumático MTB 60 TPI,Arisun,26,2,Diseño,Mount Baldy,"$19,000","$15,966",16320,670,670,45,740,2.1,Caucho,Andes Industrial,"$11,200",1,60 TPI,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> El neumático MTB Arisun es una alternativa práctica para renovar tu bicicleta y seguir pedaleando en salidas recreativas. </p> <p style=""margin-bottom:20px;""> Ideal para reemplazar un neumático desgastado: revisa la compatibilidad con tu rueda y realiza el montaje con cuidado para un buen ajuste. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Neumático MTB 60 TPI</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Arisun</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">26</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Diseño: Mount Baldy</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Caucho</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">2.1""</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">740 g</td> </tr> </table> </div>","Neumático MTB Arisun Aro 26 para bicicleta, una opción práctica como repuesto para renovar tu rodado en uso recreativo.",NEU-ARI-26-M,Neumático MTB 60 TPI Arisun Aro 26,Neumático MTB 60 TPI Arisun Aro 26x2.1 Mount Baldy,Repuestos,Neumáticos y Cámaras,20200500,https://clubike.cl/imagenes/NEU-ARI-26-M.jpg,Repuestos / Neumáticos y Cámaras,1,1,"MTB, Mantenimiento, Reparación",Clubike,TRUE
780999040009,7,7809990400097,Neumático MTB 30 TPI,Arisun,26,1,Diseño,Bona,"$15,600","$13,109",16315,655,655,55,660,2.1,Caucho,Andes Industrial,"$8,900",1,30TPI,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> El neumático MTB Arisun es una alternativa simple para renovar tu bicicleta y mantener un rodado confiable en rutas recreativas y caminos de tierra. </p> <p style=""margin-bottom:20px;""> Recomendado cuando necesitas reemplazar un neumático desgastado: revisa la compatibilidad con tu rueda y realiza el montaje con cuidado para un buen ajuste. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Neumático MTB 30 TPI</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Arisun</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">26</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Diseño: Bona</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Caucho</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">2.1""</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">660 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">30TPI</td> </tr> </table> </div>","Neumático MTB Arisun Aro 26 para bicicleta, una opción práctica como repuesto para uso recreativo y salidas en terreno.",NEU-ARI-26-B,Neumático MTB 30 TPI Arisun Aro 26,Neumático MTB 30 TPI Arisun Aro 26x2.1 Bona,Repuestos,Neumáticos y Cámaras,23596375,https://clubike.cl/imagenes/NEU-ARI-26-B.jpg,Repuestos / Neumáticos y Cámaras,1,1,"MTB, Mantenimiento, Reparación",Clubike,TRUE
