Base EAN13,Digito verificador,Código de Barras,Producto,Marca,Modelo,Cantidad a la mano,Atributo,Valores Atributo,Venta con IVA,Venta sin IVA,SKU Proveedor,Largo Envio,Ancho Envio,Alto Envio,Peso completo,Dimensiones Producto,Material,Proveedor,Precio de Costo,# Variantes de producto,Observaciones,Descripción para el sitio web,Descripción SEO,Referencia interna,Nombre Base,Nombre Comercial,Categoría de Punto de venta,Subcategoría,Volumen,Imagen,Categoría del Producto,Está Publicado,Rastrear Inventario,Etiquetas,Sitio web,Disponible en PdV
780999005000,1,7809990050001,Pedales Plataforma,Neco,MTB FLAT,5,Color,Negro,"$8,200","$6,891",P3059,160,140,70,490,120x100,Aluminio,MKR,"$6,295",1,9/16 pulgadas,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> Pedales plataforma Neco MTB FLAT pensados para acompañarte en salidas MTB o en el día a día, con una pisada estable y un manejo predecible cuando necesitas control. Son una opción práctica si prefieres pedalear con zapatillas normales y mantener una sensación segura sobre la bici. </p> <p style=""margin-bottom:20px;""> El acabado en negro combina fácil con cualquier montaje y mantiene una estética limpia. Si estás armando o renovando tu bici y buscas pedales de plataforma simples, de marca conocida y sin complicarte con sistemas de cala, este modelo cumple bien con lo esencial. </p> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Repuestos</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Neco</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">MTB FLAT</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Negro</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Aluminio</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">120x100</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">490 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">9/16 pulgadas</td> </tr> </table> </div>","Pedales plataforma Neco MTB FLAT negros, una opción práctica para MTB o uso diario si buscas control y comodidad al pedalear,",PED-NEC-MTB-N,Pedales Plataforma Neco MTB FLAT,Pedales Plataforma Neco MTB FLAT Negro 120x100mm,Repuestos,Pedales,1568000,https://clubike.cl/imagenes/PED-NEC-MTB-N.jpg,Repuestos / Pedales,1,1,"MTB, Reparación",Clubike,TRUE
780999005001,8,7809990050018,Pedales Plataforma,JIHAIXIN,HX184,2,Color,Azul,"$6,000","$5,042",,241,140,40,485,120x100,Aluminio,No registra,"$4,615",1,"MTB flat, con pines no reemplazables","<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> Los pedales plataforma JIHAIXIN HX184 son una alternativa simple y directa para quienes prefieren el formato flat y una pisada amplia al andar en MTB o en trayectos cotidianos. Entregan una base firme para pedalear con zapatillas normales, sin depender de calas ni ajustes especiales. </p> <p style=""margin-bottom:20px;""> En color azul, mantienen un look llamativo sin perder lo práctico, y su construcción en aluminio apunta a un uso resistente para el día a día. Si buscas un pedal de plataforma con buen agarre gracias a sus pines fijos, este modelo es una opción bien aterrizada para renovar tu bici. </p> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Repuestos</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">JIHAIXIN</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">HX184</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Azul</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Aluminio</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">120x100</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">485 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">MTB flat, con pines no reemplazables</td> </tr> </table> </div>","Pedales plataforma JIHAIXIN HX184 color azul, tipo flat y pensados para MTB o uso diario con una pisada estable y agarre firme.",PED-JIH-HX1-A,Pedales Plataforma JIHAIXIN HX184,Pedales Plataforma JIHAIXIN HX184 Azul 120x100mm,Repuestos,Pedales,1349600,https://clubike.cl/imagenes/PED-JIH-HX1-A.jpg,Repuestos / Pedales,1,1,"MTB, Reparación",Clubike,TRUE
780999005002,5,7809990050025,Pedales Plataforma,Genérico,MTB Jaula,2,Color,Plateado,"$5,800","$4,874",1459,110,110,60,308,110x80,Aluminio,No registra,"$4,462",1,9/16 pulgadas con reflectores,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> Estos pedales plataforma Genérico MTB Jaula están pensados para quienes buscan una base de apoyo estable y cómoda al pedalear, tanto en salidas de MTB como en recorridos urbanos. El formato flat te permite usar zapatillas normales y sentir una pisada más libre, sin depender de calas. </p> <p style=""margin-bottom:20px;""> El color plateado aporta un look clásico y fácil de combinar, y el diseño con reflectores suma un plus de visibilidad cuando andas en calle. Si necesitas renovar pedales con una opción simple y funcional, este modelo cumple bien con lo esencial para el día a día. </p> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Repuestos</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Genérico</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">MTB Jaula</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Plateado</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Aluminio</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">110x80</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">308 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">9/16 pulgadas con reflectores</td> </tr> </table> </div>","Pedales plataforma Genérico MTB Jaula color plateado, una opción práctica para MTB o ciudad con pisada estable y reflectores para mayor visibilidad.",PED-GEN-MTB-P,Pedales Plataforma Genérico MTB Jaula,Pedales Plataforma Genérico MTB Jaula Plateado 110x80mm,Repuestos,Pedales,726000,https://clubike.cl/imagenes/PED-GEN-MTB-P.jpg,Repuestos / Pedales,1,1,"MTB, Reflectante, Reparación",Clubike,TRUE
780999005003,2,7809990050032,Pedales Plataforma,Genérico,Reflectores MTB Jaula,3,Color,Plateado,"$4,700","$3,950",193,130,90,65,329,120x80,Aluminio,No registra,"$3,615",1,9/16 pulgadas con reflectores,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> Estos pedales plataforma Genérico Reflectores MTB Jaula son una opción bien directa si buscas una pisada estable para pedalear con zapatillas normales, ya sea en MTB recreativo o en el uso diario. El formato flat ayuda a sentir una base amplia y segura, sin depender de sistemas de cala. </p> <p style=""margin-bottom:20px;""> Al incluir reflectores, aportan un extra de visibilidad para moverte en ciudad o en horarios con menos luz. Si estás renovando tu bicicleta y quieres algo simple, funcional y fácil de combinar, este modelo cumple con lo esencial para salir a rodar. </p> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Repuestos</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Genérico</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Reflectores MTB Jaula</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Plateado</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Aluminio</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">120x80</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">329 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">9/16 pulgadas con reflectores</td> </tr> </table> </div>","Pedales plataforma Genérico Reflectores MTB Jaula color plateado, una alternativa práctica para MTB o ciudad con reflectores para mayor visibilidad.",PED-GEN-REF-P,Pedales Plataforma Genérico Reflectores MTB Jaula,Pedales Plataforma Genérico Reflectores MTB Jaula Plateado 120x80mm,Repuestos,Pedales,760500,https://clubike.cl/imagenes/PED-GEN-REF-P.jpg,Repuestos / Pedales,1,1,"MTB, Reflectante, Reparación",Clubike,TRUE
780999005004,9,7809990050049,Pedales Plataforma,Genérico,Jaula metalica dentada,1,Color,Plateado,"$10,500","$8,824",,140,90,70,480,125x90,Aluminio,No registra,"$8,077",1,"Para usp BMX, URBANO Y MTB recreativo. Reflectante","<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> Los pedales plataforma Genérico Jaula metalica dentada son una alternativa práctica para quienes buscan una pisada firme y un apoyo amplio al pedalear, ya sea en MTB recreativo, BMX o en traslados urbanos. Su diseño tipo jaula ayuda a mantener el pie bien asentado y se siente natural si andas con zapatillas normales. </p> <p style=""margin-bottom:20px;""> El acabado plateado combina fácil con distintos armados, y el detalle reflectante aporta un extra de visibilidad cuando te mueves por la ciudad. Si quieres renovar pedales con algo simple, funcional y sin complicarte con calas, este modelo cumple con lo esencial para salir a rodar. </p> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Repuestos</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Genérico</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Jaula metalica dentada</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Plateado</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Aluminio</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">125x90</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">480 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Para uso BMX, urbano y MTB recreativo. Reflectante</td> </tr> </table> </div>","Pedales plataforma Genérico jaula metalica dentada plateados, con detalle reflectante para uso BMX, urbano o MTB recreativo.",PED-GEN-JAU-P,Pedales Plataforma Genérico Jaula metalica dentada,Pedales Plataforma Genérico Jaula metalica dentada Plateado 125x90mm,Repuestos,Pedales,882000,https://clubike.cl/imagenes/PED-GEN-JAU-P.jpg,Repuestos / Pedales,1,1,"MTB, BMX, Urbano, Reflectante, Reparación",Clubike,TRUE
780999005005,6,7809990050056,Pedales Plataforma,Genérico,Bingo/entry level,1,Color,Negro,"$2,000","$1,681",19362,125,75,50,280,120x75,Nylon reforzado,No registra,"$1,538",1,"Plataforma, Plástico reforzado,Buje simple o rodamiento básico,Uso urbano / paseo, Peso liviano","<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> Los pedales plataforma Genérico Bingo/entry level son una alternativa simple para partir o renovar tu bici sin complicarte. Ofrecen una superficie cómoda para pedalear con zapatillas normales y se sienten naturales en recorridos tranquilos. </p> <p style=""margin-bottom:20px;""> Funcionan bien para uso urbano o de paseo cuando lo que buscas es algo práctico y cumplidor. El diseño en negro mantiene un look sobrio y fácil de combinar, ideal si prefieres resolver con un pedal de plataforma directo y sin pretensiones. </p> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Repuestos</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Genérico</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Bingo/entry level</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Negro</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Nylon reforzado</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">120x75</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">280 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Plataforma, Plástico reforzado,Buje simple o rodamiento básico,Uso urbano / paseo, Peso liviano</td> </tr> </table> </div>","Pedales plataforma Genérico Bingo/entry level color negro, una opción práctica para uso urbano o paseo con una pisada cómoda y estable.",PED-GEN-BIN-N,Pedales Plataforma Genérico Bingo/entry level,Pedales Plataforma Genérico Bingo/entry level Negro 120x75mm,Repuestos,Pedales,468750,https://clubike.cl/imagenes/PED-GEN-BIN-N.jpg,Repuestos / Pedales,1,1,"Urbano, Reparación",Clubike,TRUE
780999005006,3,7809990050063,Pedales Plataforma,Genérico,MTB FLAT,1,Color,Blanco,"$3,700","$3,109",10356,140,90,70,280,125X75,Nylon reforzado,No registra,"$2,846",1,Con reflectante,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> Los Pedales Plataforma Genérico MTB FLAT en color blanco son una opción práctica si buscas un pedal tipo plataforma, fácil de usar y sin depender de calas. Su formato flat entrega una base cómoda para pedalear con zapatillas normales, ideal para un manejo simple y directo. </p> <p style=""margin-bottom:20px;""> Además, incorporan reflectante, lo que suma un plus de visibilidad en trayectos urbanos o cuando baja la luz. Si estás renovando tu bici y quieres un pedal de plataforma básico, funcional y de estética limpia, este modelo cumple bien con lo esencial. </p> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Repuestos</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Genérico</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">MTB FLAT</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Blanco</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Nylon reforzado</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">125X75</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">280 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Con reflectante</td> </tr> </table> </div>","Pedales plataforma Genérico MTB FLAT blancos, con reflectante, una alternativa práctica para pedalear en el día a día sin complicaciones.",PED-GEN-MTB-B,Pedales Plataforma Genérico MTB FLAT,Pedales Plataforma Genérico MTB FLAT Blanco 125X75mm,Repuestos,Pedales,882000,https://clubike.cl/imagenes/PED-GEN-MTB-B.jpg,Repuestos / Pedales,1,1,"MTB, Reflectante, Reparación",Clubike,TRUE
780999005007,0,7809990050070,Pedales Plataforma,Genérico,Jaula dentada asimetrica,1,Color,Negro y Plateado,"$9,800","$8,235",726,120,80,70,340,110x80,Aluminio,No registra,"$7,538",1,Con reflectante,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> Los pedales plataforma Genérico Jaula dentada asimétrica son una alternativa práctica si buscas un apoyo firme y una sensación de control al pedalear con zapatillas normales. El diseño tipo jaula ayuda a mantener el pie bien asentado, ideal para uso recreativo o para moverte en el día a día. </p> <p style=""margin-bottom:20px;""> Su combinación de colores se ve bien en distintos armados, y el detalle reflectante suma un plus de visibilidad cuando andas en calle o con menos luz. Si quieres renovar tus pedales con una opción simple y funcional, este modelo cumple con lo esencial para salir a rodar sin complicaciones. </p> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Repuestos</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Genérico</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Jaula dentada asimetrica</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Negro y Plateado</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Aluminio</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">110x80</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">340 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Con reflectante</td> </tr> </table> </div>","Pedales plataforma Genérico jaula dentada asimétrica en negro y plateado, con reflectante, para una pisada estable en uso urbano o recreativo.",PED-GEN-JAU-N,Pedales Plataforma Genérico Jaula dentada asimetrica,Pedales Plataforma Genérico Jaula dentada asimetrica Negro y Plateado 110x80mm,Repuestos,Pedales,672000,https://clubike.cl/imagenes/PED-GEN-JAU-N.jpg,Repuestos / Pedales,1,1,"Reflectante, Reparación",Clubike,TRUE
780999005008,7,7809990050087,Pedales Plataforma,Hengfen,HF866,2,Color,Negro,"$3,600","$3,025",15990,120,80,60,312,120x80,Aluminio,No registra,"$2,769",1,Con reflectante,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> Los pedales plataforma Hengfen HF866 son una opción práctica para quienes prefieren una pisada libre y cómoda, ideal para moverse en bici sin complicarse con sistemas de cala. Su diseño de plataforma entrega una base estable para pedalear con zapatillas normales, tanto en salidas tranquilas como en el uso diario. </p> <p style=""margin-bottom:20px;""> En color negro, se integran fácil a distintos armados y mantienen una estética sobria. Además, al incluir reflectante, aportan un extra de visibilidad en calle, algo que se agradece especialmente cuando baja la luz. </p> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Repuestos</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Hengfen</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">HF866</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Negro</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Aluminio</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">120x80</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">312 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Con reflectante</td> </tr> </table> </div>","Pedales plataforma Hengfen HF866 color negro, con reflectante, pensados para una pisada estable y uso práctico en el día a día.",PED-HEN-HF8-N,Pedales Plataforma Hengfen HF866,Pedales Plataforma Hengfen HF866 Negro 120x80mm,Repuestos,Pedales,576000,https://clubike.cl/imagenes/PED-HEN-HF8-N.jpg,Repuestos / Pedales,1,1,"Reflectante, Reparación",Clubike,TRUE
780999005009,4,7809990050094,Pedales Plataforma,Genérico,FP906,1,Color,Negro,"$5,200","$4,370",,120,90,60,370,115x85,Aluminio,No registra,"$4,000",1,Con reflectante,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> Los Pedales Plataforma Genérico FP906 son una opción simple y confiable para quienes prefieren pedalear en plataforma, con una pisada cómoda y sin depender de calas. Van bien para uso diario y salidas recreativas, especialmente si buscas algo fácil de instalar y usar desde el primer día. </p> <p style=""margin-bottom:20px;""> En color negro mantienen un look sobrio que combina con casi cualquier bici, y el reflectante suma un plus de visibilidad cuando te mueves por la ciudad. Si estás renovando pedales y quieres una alternativa práctica, este modelo cumple con lo esencial sin complicarte. </p> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Repuestos</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Genérico</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">FP906</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Negro</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Aluminio</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">115x85</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">370 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Observaciones</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Con reflectante</td> </tr> </table> </div>","Pedales plataforma Genérico FP906 negros con reflectante, una alternativa práctica para uso diario y salidas recreativas sin calas.",PED-GEN-FP9-N,Pedales Plataforma Genérico FP906,Pedales Plataforma Genérico FP906 Negro 115x85mm,Repuestos,Pedales,648000,https://clubike.cl/imagenes/PED-GEN-FP9-N.jpg,Repuestos / Pedales,1,1,"Reflectante, Reparación",Clubike,TRUE
