Base EAN13,Digito verificador,Código de Barras,Producto,Marca,Modelo,Cantidad a la mano,Atributo,Valores Atributo,Venta con IVA,Venta sin IVA,SKU Proveedor,Largo Envio,Ancho Envio,Alto Envio,Peso completo,Dimensiones Producto,Material,Proveedor,Precio de Costo,# Variantes de producto,Observaciones,Descripción para el sitio web,Descripción SEO,Referencia interna,Nombre Base,Nombre Comercial,Categoría de Punto de venta,Subcategoría,Volumen,Imagen,Categoría del Producto,Está Publicado,Rastrear Inventario,Etiquetas,Sitio web,Disponible en PdV
780999000001,3,7809990000013,Puños,Bikeboy,Ergonómico/Lock-on,4,Color,Negro,"$4,990","$4,193",410-044-N,150,80,40,160,130,"Goma,Aluminio",No registra,"$3,838",1,,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> Estos puños Bikeboy Ergonómico/Lock-on en color negro están pensados para quienes buscan un agarre más cómodo y seguro al pedalear, ya sea en ciudad o en salidas recreativas. </p> <p style=""margin-bottom:20px;""> Una alternativa conveniente para renovar el manubrio y mantener una sensación de control estable, cuidando el ajuste y la posición según tu estilo de uso. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Puños</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Bikeboy</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Ergonómico/Lock-on</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Negro</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Goma, Aluminio</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">130 mm</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">160 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones de envío</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">150 × 80 × 40</td> </tr> </table> </div>","Puños Bikeboy Ergonómico/Lock-on para bicicleta, pensados para mejorar el agarre y la comodidad en el manubrio. Una opción práctica para uso diario y salidas recreativas.",PUÑ-BIK-ERG-N,Puños Bikeboy Ergonómico/Lock-on,Puños Bikeboy Ergonómico/Lock-on 130mm,Repuestos,Manubrio,480000,https://clubike.cl/imagenes/PUÑ-BIK-ERG-N.jpg,Repuestos / Manubrio,1,1,"Ergonómico, Mantenimiento, Reparación",Clubike,TRUE
780999000002,0,7809990000020,Puños,Bikeboy,Estándar,4,Color,Negro Blanco,"$4,990","$4,193",410-185-N,150,80,40,140,130,"Goma,Aluminio",No registra,"$3,838",1,,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> Estos puños Bikeboy Estándar están pensados para quienes buscan una solución simple para renovar el agarre del manubrio, ya sea en ciudad o en salidas recreativas. </p> <p style=""margin-bottom:20px;""> Son una alternativa práctica para reemplazar puños gastados y mantener una sensación de control consistente, cuidando el ajuste según tu estilo de uso. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Puños</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Bikeboy</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Estándar</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Negro Blanco</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Goma, Aluminio</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">130 mm</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">140 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones de envío</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">150 × 80 × 40</td> </tr> </table> </div>","Puños Bikeboy Estándar para bicicleta, pensados para renovar el agarre del manubrio en uso diario y salidas recreativas. Una opción práctica para reemplazo y mantención.",PUÑ-BIK-EST-N,Puños Bikeboy Estándar,Puños Bikeboy Estándar 130mm,Repuestos,Manubrio,480000,https://clubike.cl/imagenes/PUÑ-BIK-EST-N.jpg,Repuestos / Manubrio,1,1,"Cómodo, Mantenimiento, Reparación",Clubike,TRUE
780999000003,7,7809990000037,Puños,Bikeboy,Lock-on,1,Color,Negro Blanco,"$4,990","$4,193",410-072-B,150,80,40,130,130,"Goma,Aluminio",No registra,"$3,838",1,,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> Estos puños Bikeboy Lock-on están pensados para quienes buscan una alternativa práctica para renovar el manubrio y mantener una sensación de agarre cómoda en la bicicleta. </p> <p style=""margin-bottom:20px;""> Ideales como reemplazo cuando quieres ordenar el puesto de mando con un producto simple de instalar y alineado a un uso cotidiano o recreativo. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Puños</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Bikeboy</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Lock-on</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Negro Blanco</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Goma, Aluminio</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">130 mm</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">130 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones de envío</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">150 × 80 × 40</td> </tr> </table> </div>","Puños Bikeboy Lock-on para bicicleta, una opción práctica para renovar el manubrio y mantener un agarre cómodo en el uso diario y salidas recreativas.",PUÑ-BIK-LOC-N,Puños Bikeboy Lock-on,Puños Bikeboy Lock-on 130mm,Repuestos,Manubrio,480000,https://clubike.cl/imagenes/PUÑ-BIK-LOC-N.jpg,Repuestos / Manubrio,1,1,"Cómodo, Mantenimiento, Reparación",Clubike,TRUE
780999000004,4,7809990000044,Puños,Best,Lock-on,6,Color,Negro Rojo,"$6,990","$5,874",No registra,132,70,35,120,130,"Goma,Aluminio",No registra,"$5,377",1,,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> Estos puños Best Lock-on están pensados para quienes buscan una alternativa práctica para renovar el agarre del manubrio y mantener una sensación más cómoda al pedalear. </p> <p style=""margin-bottom:20px;""> Ideales como reemplazo cuando quieres actualizar tu bicicleta con un producto simple y orientado a un uso cotidiano o recreativo, cuidando el ajuste según tu estilo de manejo. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Puños</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Best</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Lock-on</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Negro Rojo</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Goma, Aluminio</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">130 mm</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">120 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones de envío</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">132 × 70 × 35</td> </tr> </table> </div>","Puños Best Lock-on para bicicleta, pensados para renovar el agarre del manubrio en uso diario y salidas recreativas. Una opción práctica para mantener el control y la comodidad al pedalear.",PUÑ-BES-LOC-N,Puños Best Lock-on,Puños Best Lock-on 130mm,Repuestos,Manubrio,323400,https://clubike.cl/imagenes/PUÑ-BES-LOC-N.jpg,Repuestos / Manubrio,1,1,"Cómodo, Mantenimiento, Reparación",Clubike,TRUE
780999000005,1,7809990000051,Puños,Derman,Lock-on,2,Color,Azul Rosado,"$5,990","$5,034",HGS-4004,200,120,40,140,130,"Goma,Aluminio",No registra,"$4,608",4,,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> Estos puños Derman Lock-on están pensados para quienes buscan renovar el agarre del manubrio con una opción cómoda y de buen tacto para el pedaleo cotidiano. </p> <p style=""margin-bottom:20px;""> Una alternativa práctica para actualizar tu bicicleta y mantener una sensación de control estable, cuidando el ajuste según tu estilo de uso. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Puños</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Derman</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Lock-on</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Azul Rosado</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Goma, Aluminio</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">130 mm</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">140 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones de envío</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">200 × 120 × 40</td> </tr> </table> </div>","Puños Derman Lock-on para bicicleta, pensados para renovar el agarre del manubrio con una opción práctica para uso diario y salidas recreativas.",PUÑ-DER-LOC-A,Puños Derman Lock-on,Puños Derman Lock-on 130mm,Repuestos,Manubrio,960000,https://clubike.cl/imagenes/PUÑ-DER-LOC-A.jpg,Repuestos / Manubrio,1,1,"Cómodo, Mantenimiento, Reparación",Clubike,TRUE
780999000006,8,7809990000068,Puños,Derman,Lock-on,2,Color,Negro Morado,"$5,990","$5,034",HGS-4004,200,120,40,140,130,"Goma,Aluminio",No registra,"$4,608",4,,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> Estos puños Derman Lock-on están pensados para quienes buscan renovar el agarre del manubrio con una opción cómoda y de buen tacto para el pedaleo cotidiano. </p> <p style=""margin-bottom:20px;""> Una alternativa práctica para actualizar tu bicicleta y mantener una sensación de control estable, cuidando el ajuste según tu estilo de uso. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Puños</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Derman</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Lock-on</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Negro Morado</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Goma, Aluminio</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">130 mm</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">140 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones de envío</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">200 × 120 × 40</td> </tr> </table> </div>","Puños Derman Lock-on para bicicleta, pensados para renovar el agarre del manubrio con una opción práctica para uso diario y salidas recreativas.",PUÑ-DER-LOC-N,Puños Derman Lock-on,Puños Derman Lock-on 130mm,Repuestos,Manubrio,960000,https://clubike.cl/imagenes/PUÑ-DER-LOC-N.jpg,Repuestos / Manubrio,1,1,"Cómodo, Mantenimiento, Reparación",Clubike,TRUE
780999000007,5,7809990000075,Puños,Derman,Lock-on,1,Color,Verde Negro,"$5,990","$5,034",HGS-4004,200,120,40,140,130,"Goma,Aluminio",No registra,"$4,608",4,,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> Estos puños Derman Lock-on están pensados para quienes buscan renovar el agarre del manubrio con una opción cómoda y de buen tacto para el pedaleo cotidiano. </p> <p style=""margin-bottom:20px;""> Una alternativa práctica para actualizar tu bicicleta y mantener una sensación de control estable, cuidando el ajuste según tu estilo de uso. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Puños</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Derman</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Lock-on</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Verde Negro</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Goma, Aluminio</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">130 mm</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">140 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones de envío</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">200 × 120 × 40</td> </tr> </table> </div>","Puños Derman Lock-on para bicicleta, pensados para renovar el agarre del manubrio con una opción práctica para uso diario y salidas recreativas.",PUÑ-DER-LOC-V,Puños Derman Lock-on,Puños Derman Lock-on 130mm,Repuestos,Manubrio,960000,https://clubike.cl/imagenes/PUÑ-DER-LOC-V.jpg,Repuestos / Manubrio,1,1,"Cómodo, Mantenimiento, Reparación",Clubike,TRUE
780999000008,2,7809990000082,Puños,Derman,Lock-on,1,Color,Rosado Negro,"$5,990","$5,034",HGS-4004,200,120,40,140,130,"Goma,Aluminio",No registra,"$4,608",4,,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> Estos puños Derman Lock-on están pensados para quienes buscan actualizar el agarre del manubrio con una opción cómoda para el pedaleo cotidiano. </p> <p style=""margin-bottom:20px;""> Una alternativa práctica para reemplazar puños gastados y mantener una sensación de control estable, ajustando el puesto de mando según tu estilo de uso. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Puños</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Derman</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Lock-on</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Rosado Negro</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Goma, Aluminio</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">130 mm</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">140 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones de envío</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">200 × 120 × 40</td> </tr> </table> </div>","Puños Derman Lock-on para bicicleta, una opción práctica para renovar el agarre del manubrio en el uso diario y salidas recreativas.",PUÑ-DER-LOC-R,Puños Derman Lock-on,Puños Derman Lock-on 130mm,Repuestos,Manubrio,960000,https://clubike.cl/imagenes/PUÑ-DER-LOC-R.jpg,Repuestos / Manubrio,1,1,"Cómodo, Mantenimiento, Reparación",Clubike,TRUE
780999000009,9,7809990000099,Puños,Derman,Ergonómico,3,Color,Azul Negro,"$4,990","$4,193",HGS-4007,200,120,40,190,130,Goma,No registra,"$3,838",2,,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> Estos puños Derman Ergonómico están pensados para quienes buscan una sensación de agarre más cómoda y un mejor control del manubrio en el pedaleo cotidiano. </p> <p style=""margin-bottom:20px;""> Son una alternativa práctica para reemplazar puños desgastados y renovar el puesto de mando, cuidando el ajuste según tu estilo de uso. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Puños</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Derman</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Ergonómico</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Azul Negro</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Goma</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">130 mm</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">190 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones de envío</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">200 × 120 × 40</td> </tr> </table> </div>","Puños Derman Ergonómico para bicicleta, pensados para mejorar el agarre y la comodidad en el manubrio. Una opción práctica para uso diario y salidas recreativas.",PUÑ-DER-ERG-A,Puños Derman Ergonómico,Puños Derman Ergonómico 130mm,Repuestos,Manubrio,960000,https://clubike.cl/imagenes/PUÑ-DER-ERG-A.jpg,Repuestos / Manubrio,1,1,"Ergonómico, Mantenimiento, Reparación",Clubike,TRUE
780999000010,5,7809990000105,Puños,Derman,Ergonómico,2,Color,Verde Negro,"$4,990","$4,193",HGS-4007,200,120,40,190,130,Goma,No registra,"$3,838",2,,"<div style=""padding:18px 22px; max-width:900px; margin:auto;""> <p style=""margin-bottom:14px;""> Estos puños Derman Ergonómico están pensados para quienes buscan una sensación de agarre más cómoda y un apoyo más estable en el manubrio durante el pedaleo. </p> <p style=""margin-bottom:20px;""> Una alternativa práctica para renovar el puesto de mando y mantener una experiencia de manejo más agradable, ajustando la posición según tu estilo de uso. </p> <!-- <p style=""margin-bottom:20px;""> [Párrafo 3 opcional] </p> --> <hr style=""margin:25px 0;""> <h3 style=""margin-bottom:12px;"">Especificaciones Técnicas</h3> <table style=""width:100%; border-collapse:collapse;""> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Tipo de producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Puños</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Marca</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Derman</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Modelo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Ergonómico</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Variante</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Color: Verde Negro</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Material</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">Goma</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones Producto</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">130 mm</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Peso completo</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">190 g</td> </tr> <tr> <td style=""padding:8px; border-bottom:1px solid #ddd;""><b>Dimensiones de envío</b></td> <td style=""padding:8px; border-bottom:1px solid #ddd;"">200 × 120 × 40</td> </tr> </table> </div>","Puños Derman Ergonómico para bicicleta, pensados para mejorar la comodidad y el control del manubrio en uso diario y salidas recreativas.",PUÑ-DER-ERG-V,Puños Derman Ergonómico,Puños Derman Ergonómico 130mm,Repuestos,Manubrio,960000,https://clubike.cl/imagenes/PUÑ-DER-ERG-V.jpg,Repuestos / Manubrio,1,1,"Ergonómico, Mantenimiento, Reparación",Clubike,TRUE
